USAGE,KGCO2E_PER_1000KRW
FOOD,0.1907
COFFEE,0.2018
ENTERTAINMENT,0.0626
DEPARTMENT_STORE,0.1171
LARGE_DISCOUNT_STORE,0.1171
SMALL_RETAIL_STORE,0.1321
CLOTHING_ACCESSORIES,0.1058
SPORTS_CULTURE_LEISURE,0.3711
ACCOMMODATION,0.1087
TRAVEL,0.1715
BEAUTY,0.1236
HOME_LIFE_SERVICE,0.0824
EDUCATION_ACADEMY,0.0771
MEDICAL,0.0753
ELECTRONICS_FURNITURE,0.0923
CAR,0.1251
CAR_SERVICE_SUPPLIES,0.0751
GAS_STATION,0.2973
E_COMMERCE,0.0479
